,mapped_veh_id,timestamps_UTC,lat,lon,RS_E_InAirTemp_PC1,RS_E_InAirTemp_PC2,RS_E_OilPress_PC1,RS_E_OilPress_PC2,RS_E_RPM_PC1,RS_E_RPM_PC2,RS_E_WatTemp_PC1,RS_E_WatTemp_PC2,RS_T_OilTemp_PC1,RS_T_OilTemp_PC2,z_outlier
7106036,123,2023-03-24 06:18:04+00:00,51.1402948,5.2247103,37.0,36.0,389.0,358.0,1871.0,1860.0,77.0,82.0,73.0,82.0,False
14711034,175,2023-01-26 04:50:24+00:00,51.1909357,5.1144282,35.0,5.0,0.0,279.0,0.0,796.0,31.0,82.0,30.0,79.0,True
2327703,164,2023-02-16 15:09:55+00:00,51.1902952,5.1127398,28.0,35.0,282.0,220.0,1374.0,798.0,82.0,79.0,79.0,80.0,False
7480035,116,2023-05-26 12:59:16+00:00,50.9487685,4.0287507,22.0,23.0,434.0,362.0,796.0,800.0,45.0,45.0,50.0,48.0,False
8494048,164,2023-08-18 07:30:36+00:00,51.1177946,5.2577929,28.0,42.0,393.0,384.0,1592.5,964.0,82.0,80.0,84.0,85.0,False
7532280,116,2023-05-16 08:52:57+00:00,51.0212027,3.763225,27.0,33.0,196.0,169.0,824.0,795.0,87.0,83.0,82.0,81.0,False
2818886,164,2023-05-06 05:52:00+00:00,51.027305,5.3522171,29.0,32.0,203.0,208.5,801.0,802.0,83.0,81.0,81.0,83.0,False
8968917,175,2023-01-23 10:22:38+00:00,51.0914515,5.2351269,13.0,24.0,403.0,458.0,1495.0,1499.0,87.0,87.0,92.0,92.0,False
3781490,123,2023-04-21 17:44:54+00:00,51.2462326,5.5435009,34.0,25.0,224.0,217.0,800.0,798.0,75.0,80.0,79.0,80.0,False
14648937,116,2023-02-14 04:14:46+00:00,50.7980991,3.900246,38.0,34.0,186.0,169.0,791.0,801.0,86.0,84.0,87.0,85.0,False
17476677,116,2023-08-07 23:26:14+00:00,51.0164304,3.7724128,25.0,27.0,231.0,186.0,795.0,800.0,77.0,76.0,73.0,70.0,False
6266807,164,2023-08-26 19:36:57+00:00,51.0895333,5.2347408,33.0,0.0,376.0,0.0,1701.0,1747.0,83.0,81.0,84.0,88.0,False
14119541,155,2023-04-24 16:34:48+00:00,50.8550515,3.8103954,41.0,41.0,303.0,338.0,1557.0,1471.0,89.0,91.0,90.0,90.0,False
3690141,164,2023-01-27 11:33:09+00:00,51.0381955,5.2822728,32.0,13.0,403.0,372.0,1699.0,1727.0,81.0,79.0,83.0,86.0,False
6453992,155,2023-05-03 15:12:09+00:00,51.0731598,3.7273556,35.0,40.0,186.0,207.0,801.0,802.0,86.0,87.0,90.0,90.0,False
2294307,116,2023-09-13 06:29:58+00:00,51.0408598,3.6853563,26.0,42.0,217.0,175.0,798.0,797.0,78.0,77.0,79.0,79.0,False
7392734,164,2023-06-21 07:25:44+00:00,50.9365266,5.3067196,29.0,30.0,244.0,3.0,802.0,0.0,82.0,28.0,77.0,27.0,True
17525410,155,2023-04-07 19:12:28+00:00,50.8686692,3.8143506,21.0,20.0,227.0,276.0,802.0,803.0,74.0,67.0,74.0,73.0,False
7359911,155,2023-04-20 05:16:25+00:00,51.035846,3.7107095,15.0,17.0,220.0,234.0,801.0,797.0,75.0,76.0,78.0,81.0,False
7564780,164,2023-06-15 01:10:53+00:00,51.1907694,5.1142459,22.0,29.0,241.0,231.0,805.0,802.0,82.0,81.0,78.0,79.0,False
6843551,123,2023-03-27 06:44:04+00:00,51.2244572,4.4408627,53.0,54.0,3.0,3.0,0.0,0.0,65.0,74.0,66.0,73.0,False
14010476,116,2023-08-22 09:07:27+00:00,51.0321917,3.7240679,38.0,44.0,193.0,169.0,797.0,800.0,84.0,83.0,87.0,83.0,False
1553164,116,2023-06-09 15:11:31+00:00,51.0399598,3.693371,38.0,42.0,196.0,165.0,802.0,798.0,82.0,82.0,85.0,83.0,False
8956687,164,2023-01-29 04:54:11+00:00,51.1909782,5.1144435,3.0,4.0,248.0,244.0,800.0,802.0,82.0,81.0,76.0,77.0,False
12671051,116,2023-02-27 13:19:01+00:00,50.7799282,3.6185572,34.0,33.0,196.0,169.0,797.0,798.0,80.0,80.0,81.0,80.0,False
7279516,164,2023-08-24 14:32:19+00:00,51.0557804,5.2290374,40.0,42.0,348.0,334.0,1459.0,1483.0,86.0,83.0,85.0,88.0,False
1898204,123,2023-02-07 20:38:27+00:00,51.1539892,4.512897,35.0,30.0,175.0,193.0,807.0,795.0,81.0,79.0,80.0,79.0,False
4174871,175,2023-05-12 04:53:19+00:00,51.2031353,4.4288757,21.0,28.0,220.0,269.0,801.0,796.0,83.0,83.0,83.0,82.0,False
522184,116,2023-05-24 05:26:05+00:00,50.8068438,3.9559785,37.0,32.0,203.0,186.0,844.0,987.0,90.0,90.0,97.0,95.0,False
9028840,164,2023-05-26 18:05:28+00:00,50.9310922,5.3262471,25.0,39.0,238.0,238.0,800.0,804.0,82.0,80.0,79.0,81.0,False
11861831,164,2023-07-25 14:16:11+00:00,51.1757006,4.8840262,40.0,0.0,370.5,0.0,1304.5,0.0,86.0,0.0,85.5,85.5,True
2477253,155,2023-04-18 02:44:50+00:00,50.7702291,3.8715265,24.0,8.0,293.0,355.0,801.0,797.0,65.0,57.0,56.0,53.0,False
4110571,116,2023-07-20 19:01:47+00:00,50.770612,3.87224,37.0,38.0,207.0,172.0,802.0,797.0,78.0,80.0,84.0,84.0,False
14323031,155,2023-02-16 14:06:45+00:00,51.0137931,3.7795753,12.0,15.0,451.0,451.0,800.0,800.0,50.0,52.0,38.0,38.0,False
5685878,116,2023-07-08 12:45:37+00:00,51.0141058,3.7798171,42.0,42.0,217.0,169.0,800.0,804.0,82.0,82.0,82.0,82.0,False
14178276,116,2023-07-11 16:17:12+00:00,50.8537644,3.8104086,47.0,39.0,351.0,296.0,1243.0,1495.0,85.0,87.0,90.0,86.0,False
5101693,155,2023-09-12 02:31:32+00:00,50.8552586,3.6063372,22.0,27.0,345.0,358.0,794.0,805.0,56.0,56.0,52.0,52.0,False
13528546,116,2023-05-16 06:51:06+00:00,50.9417494,3.9785545,36.0,43.0,272.0,224.0,1045.0,1059.0,82.0,79.0,85.0,82.0,False
17118587,116,2023-09-01 03:13:24+00:00,50.7745042,3.8729437,23.0,28.0,262.0,213.0,799.0,801.0,70.0,68.0,65.0,62.0,False
5785318,164,2023-05-31 11:43:10+00:00,51.1902563,5.1127206,28.0,36.0,251.0,251.0,799.0,802.0,82.0,81.0,74.0,78.0,False
14444541,164,2023-08-27 13:26:35+00:00,51.0835158,5.2333249,31.0,21.0,338.0,165.5,1406.0,703.0,85.0,42.5,87.0,88.0,False
7322832,175,2023-04-28 15:45:03+00:00,51.0337413,5.3296712,37.0,26.0,207.0,258.0,800.0,806.0,84.0,83.0,89.0,87.0,False
13378832,123,2023-05-04 16:26:21+00:00,51.0775713,5.2320915,43.0,47.0,203.0,207.0,864.0,868.0,84.0,88.0,85.0,89.0,False
7000825,123,2023-02-20 04:33:21+00:00,51.1357757,4.5587129,33.0,34.0,238.0,213.0,810.0,818.0,78.0,81.0,80.0,85.0,False
6684968,123,2023-06-02 03:40:45+00:00,51.1556819,4.509608,38.0,36.0,189.0,210.0,798.0,808.0,82.0,81.0,80.0,82.0,False
16091405,155,2023-04-15 10:41:38+00:00,51.0162933,3.7725169,25.0,20.0,317.0,320.0,802.0,790.0,57.0,60.0,54.0,58.0,False
7427788,175,2023-07-15 03:39:43+00:00,51.1907893,5.1137923,22.0,25.0,348.0,407.0,801.0,807.0,63.0,60.0,54.0,52.0,False
2306835,175,2023-02-18 19:49:08+00:00,50.9902416,5.3487989,30.0,27.0,196.0,231.0,812.0,807.0,86.0,88.0,91.0,90.0,False
2687080,175,2023-02-13 17:58:17+00:00,51.215077,4.4211463,17.0,20.0,220.0,265.0,799.0,799.0,82.0,81.0,79.0,81.0,False
8631828,175,2023-06-15 06:44:54+00:00,51.1905575,5.1143338,25.0,34.0,224.0,272.0,799.0,804.0,82.0,82.0,79.0,80.0,False
5699661,175,2023-07-13 18:58:12+00:00,51.1905305,5.1142709,33.0,26.0,213.0,269.0,797.0,795.0,82.0,81.0,85.0,84.0,False
15293894,116,2023-04-21 02:46:42+00:00,51.0162144,3.7723335,15.0,20.0,279.0,224.0,800.0,795.0,70.0,65.0,63.0,57.0,False
9404576,155,2023-08-21 03:21:31+00:00,50.8564952,3.6077258,22.0,28.0,282.0,331.0,802.0,796.0,66.0,60.0,65.0,59.0,False
4802695,123,2023-02-09 13:22:42+00:00,51.1481775,4.5242325,34.0,33.0,251.0,220.0,796.0,803.0,66.0,74.0,63.0,70.0,False
3110381,164,2023-03-02 00:38:56+00:00,51.1908006,5.1138147,5.0,18.0,269.0,241.0,799.0,802.0,75.0,79.0,67.0,73.0,False
8038680,164,2023-08-30 13:46:32+00:00,50.9369127,5.3058562,32.0,0.0,10.0,0.0,0.0,0.0,37.0,0.0,31.0,36.0,True
8992037,123,2023-05-12 15:24:22+00:00,51.0326797,5.3466648,38.0,32.0,327.0,358.0,1402.0,1408.0,81.0,82.0,84.0,84.0,False
13551793,155,2023-05-08 05:15:43+00:00,50.834328,3.8125608,37.0,36.0,410.0,427.0,1448.0,1423.0,77.0,81.0,74.0,76.0,False
15646953,164,2023-04-11 15:15:00+00:00,50.9363902,5.3073819,13.0,17.0,6.0,238.0,0.0,805.0,14.0,81.0,8.0,77.0,True
10147411,155,2023-08-13 13:28:24+00:00,50.8513065,3.6013709,40.0,30.0,211.5,227.0,800.5,799.0,82.0,84.0,85.5,87.0,False
16154748,164,2023-07-23 19:19:45+00:00,51.1681886,5.1666437,28.0,37.0,396.0,389.0,1522.0,1583.0,83.0,82.0,83.0,87.0,False
375301,116,2023-07-31 16:05:20+00:00,50.8310522,3.6074288,38.0,48.0,355.0,313.0,1636.0,1651.0,85.0,85.0,87.0,86.0,False
13291596,175,2023-07-16 23:12:35+00:00,51.190777,5.1138302,17.0,17.0,552.0,562.0,798.0,798.0,35.0,33.0,24.0,23.0,True
12782804,175,2023-03-13 10:43:37+00:00,51.1817328,4.8302354,22.0,23.0,234.0,262.0,826.0,804.0,85.0,85.0,87.0,87.0,False
15905057,175,2023-02-21 19:00:22+00:00,51.1897258,5.1101553,13.0,65.0,224.0,10.0,801.0,0.0,82.0,68.0,79.0,70.0,True
5407001,116,2023-02-21 06:36:43+00:00,50.8984602,3.8071383,36.0,36.0,355.0,293.0,1862.0,1684.0,81.0,81.0,87.0,86.0,False
13753423,116,2023-03-13 07:31:55+00:00,50.996817,3.650168,37.0,39.0,300.0,234.0,1295.0,1263.0,83.0,82.0,87.0,87.0,False
3275781,123,2023-05-14 10:05:08+00:00,51.0837677,5.2333619,52.5,36.0,185.5,193.0,802.0,793.0,83.0,85.0,82.5,87.5,False
4494919,155,2023-06-15 04:52:00+00:00,50.9649191,3.7868323,38.0,31.0,172.0,200.0,806.0,798.0,88.0,90.0,89.0,90.0,False
12154518,175,2023-04-06 17:25:16+00:00,51.1899736,5.1100952,11.0,63.0,217.0,13.0,806.0,0.0,82.0,75.0,83.0,76.0,False
15992747,164,2023-09-09 17:37:53+00:00,51.2150255,5.406528,53.0,46.0,389.0,369.0,1802.0,1796.0,87.0,87.0,84.0,85.0,False
13418581,175,2023-05-17 02:52:03+00:00,51.1905469,5.112192,17.0,13.0,227.0,286.0,801.0,806.0,82.0,82.0,82.0,79.0,False
12649840,155,2023-02-10 09:20:23+00:00,51.0028654,3.7967987,27.0,26.0,376.0,448.0,1021.0,1322.0,72.0,73.0,74.0,75.0,False
11083601,123,2023-02-24 18:18:15+00:00,50.9934931,5.3486259,38.0,36.0,441.0,376.0,1927.0,1911.0,71.0,82.0,70.0,86.0,False
405423,175,2023-01-25 20:04:37+00:00,51.1907568,5.1152983,9.0,9.0,224.0,279.0,801.0,791.0,81.0,81.0,82.0,82.0,False
14439938,116,2023-08-08 03:40:21+00:00,51.0358631,3.709588,28.0,30.0,224.0,179.0,796.0,799.0,78.0,77.0,79.0,76.0,False
199222,155,2023-06-20 15:06:31+00:00,50.9966154,3.6497557,37.0,40.0,348.0,365.0,1500.0,1497.0,87.0,89.0,87.0,90.0,False
7004502,155,2023-02-13 15:05:14+00:00,50.7424322,3.6028295,18.0,28.0,227.0,248.0,799.0,803.0,77.0,76.0,79.0,79.0,False
10188065,123,2023-03-02 06:00:00+00:00,51.2149715,4.4207362,9.0,9.0,255.0,217.0,798.0,799.0,67.0,79.0,0.0,79.0,True
8215417,116,2023-02-14 06:17:49+00:00,51.034972,3.7111244,20.0,38.0,200.0,165.0,799.0,797.0,78.0,77.0,82.0,82.0,False
278209,116,2023-09-13 03:57:38+00:00,51.0354988,3.7114235,32.0,43.0,286.0,262.0,1301.0,1287.0,84.0,83.0,87.0,85.0,False
15240838,164,2023-08-12 06:59:55+00:00,51.1863683,5.09047,41.0,38.0,244.0,331.0,804.0,1181.0,83.0,83.0,82.0,85.0,False
17044411,155,2023-05-02 09:04:08+00:00,51.0364804,3.7076554,28.0,28.0,203.0,220.0,798.0,800.0,85.0,86.0,86.0,89.0,False
1336647,155,2023-05-12 08:28:37+00:00,51.0881461,3.71936,35.0,28.0,186.0,203.0,800.0,792.0,87.0,89.0,88.0,92.0,False
5959571,164,2023-06-15 09:37:31+00:00,51.1360091,4.5600398,40.0,43.0,220.0,207.0,801.0,805.0,82.0,81.0,81.0,84.0,False
4871567,155,2023-06-28 13:33:34+00:00,51.0899097,3.7198649,37.0,37.0,303.0,331.0,1115.0,1450.0,86.0,88.0,87.0,90.0,False
8705728,116,2023-03-16 03:45:17+00:00,50.8563889,3.6076588,10.0,20.0,282.0,217.0,782.0,798.0,65.0,64.0,58.0,60.0,False
12352558,175,2023-03-02 17:42:56+00:00,51.1759872,4.8152366,22.0,16.0,203.0,258.0,806.0,802.0,82.0,82.0,83.0,82.0,False
13816614,164,2023-02-03 18:32:36+00:00,51.1907092,5.1134701,15.0,11.0,241.0,112.0,799.0,799.0,81.0,0.0,79.0,82.0,True
8603480,164,2023-04-25 16:33:13+00:00,51.1457423,4.5977899,28.0,41.0,396.0,358.0,1906.0,1896.0,81.0,82.0,77.0,80.0,False
17580406,155,2023-06-21 15:11:28+00:00,50.8520082,3.6021808,31.0,38.0,217.0,248.0,781.0,809.0,78.0,75.0,74.0,74.0,False
15109273,175,2023-03-26 19:52:42+00:00,51.2345798,5.4400305,18.0,16.0,200.0,241.0,794.0,798.0,82.0,83.0,85.0,84.0,False
15661569,123,2023-04-19 16:22:46+00:00,51.1699215,4.7969687,38.0,35.0,207.0,213.0,804.0,816.0,81.0,80.0,81.0,82.0,False
903245,175,2023-06-14 18:28:18+00:00,51.2219881,5.4372951,42.0,35.0,203.0,255.0,801.0,795.0,82.0,82.0,84.0,84.0,False
6345215,155,2023-04-05 19:13:02+00:00,50.8686915,3.8146777,16.0,29.0,227.0,258.0,797.0,813.0,73.0,71.0,77.0,74.0,False
4869487,175,2023-02-02 03:49:46+00:00,51.1908711,5.1146957,12.0,15.0,262.0,313.0,814.0,806.0,71.0,78.0,69.0,71.0,False
4193438,175,2023-05-12 15:23:33+00:00,51.1610755,5.1810421,60.0,62.0,348.0,424.0,1606.0,1646.0,87.0,87.0,90.0,89.0,False
807453,175,2023-04-06 05:22:09+00:00,51.1610277,4.4994034,23.0,11.0,200.0,248.0,804.0,797.0,83.0,85.0,83.0,83.0,False
16540310,155,2023-03-27 10:09:02+00:00,50.9949959,3.6459137,31.0,31.0,362.0,403.0,1719.0,1717.0,83.0,82.0,85.0,85.0,False
5814754,116,2023-09-11 14:50:16+00:00,50.9311962,3.779776,42.0,47.0,313.0,258.0,1405.0,1411.0,86.0,85.0,84.0,83.0,False
9360522,175,2023-01-30 20:53:35+00:00,51.1907932,5.1156384,20.0,13.0,213.0,255.0,803.0,800.0,81.0,82.0,84.0,85.0,False
17379851,155,2023-02-03 17:21:24+00:00,50.7425386,3.6032997,23.0,30.0,213.0,224.0,800.0,801.0,81.0,83.0,85.0,86.0,False
5576248,164,2023-04-05 05:20:54+00:00,51.1220434,5.2568805,7.0,17.0,232.5,224.0,802.5,800.0,81.0,79.0,78.0,79.5,False
7944140,116,2023-09-01 02:59:26+00:00,50.7744826,3.8729502,22.0,28.0,300.0,234.0,799.0,798.0,65.0,62.0,61.0,55.0,False
10423409,164,2023-04-14 16:40:44+00:00,51.1496494,4.6130664,30.0,38.5,422.0,384.0,1958.0,1871.0,82.0,84.0,80.0,82.5,False
8639031,164,2023-06-16 04:12:14+00:00,50.9549378,5.3341351,27.0,29.0,400.0,376.0,1286.0,1297.0,81.0,80.0,77.0,80.0,False
6876075,116,2023-03-07 18:07:38+00:00,50.9300132,3.6397235,40.0,33.0,179.0,186.0,874.0,1526.0,87.0,84.0,93.0,89.0,False
12458402,116,2023-05-15 03:50:44+00:00,50.77421335,3.87289205,15.0,28.0,248.0,191.0,802.5,797.5,73.0,73.0,69.5,68.0,False
2406741,164,2023-01-29 14:33:20+00:00,51.2155703,5.4219539,15.0,18.0,403.0,376.0,1830.0,1843.0,83.0,82.0,84.0,85.0,False
5912352,175,2023-03-02 14:08:56+00:00,51.1905369,5.1141176,27.0,19.0,207.0,258.0,796.0,802.0,82.0,82.0,82.0,82.0,False
15898997,175,2023-02-09 19:22:14+00:00,51.1893561,5.1081001,35.0,38.0,3.0,13.0,0.0,0.0,80.0,80.0,78.0,81.0,False
362598,164,2023-07-30 08:53:54+00:00,51.2459567,5.5405108,38.0,27.0,241.0,238.0,802.0,799.0,81.0,79.0,80.0,78.0,False
14347854,155,2023-02-24 03:36:20+00:00,51.0230537,3.7595256,15.0,8.0,324.0,300.0,801.0,796.0,57.0,65.0,56.0,63.0,False
16232749,175,2023-05-03 01:40:13+00:00,51.1900012,5.1118287,10.0,8.0,307.0,400.0,798.0,805.0,71.0,63.0,63.0,55.0,False
8644367,155,2023-06-22 14:07:04+00:00,50.7791729,3.8745106,35.0,25.0,182.0,207.0,839.0,828.0,89.0,89.0,89.0,86.0,False
14712796,123,2023-01-31 23:14:46+00:00,51.1817471,4.8302584,25.0,28.0,379.0,348.0,1570.0,1524.0,75.0,80.0,79.0,84.0,False
3805082,175,2023-04-19 05:38:26+00:00,51.1175646,5.2578455,26.0,27.0,193.0,227.0,803.0,803.0,83.0,83.0,86.0,85.0,False
11172959,116,2023-07-19 03:15:11+00:00,51.1546118,3.6148225,39.0,37.0,351.0,269.0,1307.0,1279.0,84.0,83.0,86.0,87.0,False
13700563,164,2023-04-01 03:15:21+00:00,51.1705405,4.7996522,25.0,34.0,213.0,217.0,798.0,803.0,83.0,82.0,83.0,84.0,False
456810,175,2023-07-11 12:07:52+00:00,51.1904133,5.1134148,46.0,36.0,224.0,276.0,795.0,805.0,82.0,82.0,81.0,80.0,False
14645425,155,2023-02-10 00:35:12+00:00,51.0166471,3.7717104,26.0,11.0,286.0,327.0,799.0,800.0,64.0,60.0,65.0,62.0,False
3718484,164,2023-08-03 16:47:46+00:00,51.2022222,4.4296037,36.0,34.0,224.0,241.0,864.0,910.0,83.0,81.0,81.0,81.0,False
14452476,164,2023-08-24 13:28:03+00:00,50.9375629,5.3063621,25.0,0.0,353.0,0.0,794.5,0.0,62.0,0.0,47.0,50.5,True
9494849,175,2023-04-03 11:16:39+00:00,50.9365207,5.3067232,17.0,8.0,244.0,269.0,798.0,800.0,76.0,82.0,74.0,77.0,False
6041004,164,2023-07-31 09:34:04+00:00,51.1530032,4.6262387,28.0,40.333333333333336,240.0,243.66666666666663,797.0,1275.0,81.0,83.0,76.0,82.33333333333333,False
3946424,155,2023-06-07 14:08:17+00:00,51.0962831,3.9323117,40.0,46.0,334.0,348.0,1785.0,1772.0,87.0,88.0,90.0,89.0,False
2181788,175,2023-07-07 08:44:06+00:00,50.9899751,5.3487756,34.0,48.0,389.0,455.0,1746.0,1686.0,82.0,83.0,87.0,87.0,False
17146390,116,2023-09-08 14:21:16+00:00,50.9430539,4.0397815,43.0,40.0,186.0,169.0,797.0,802.0,86.0,82.0,85.0,82.0,False
10991181,116,2023-02-23 12:16:55+00:00,50.916854,3.6450947,41.0,37.0,175.0,158.0,795.0,805.0,88.0,87.0,91.0,89.0,False
15001956,123,2023-01-24 16:48:08+00:00,51.1998474,4.431824,23.0,15.0,365.0,351.0,1317.0,1294.0,73.0,77.0,76.0,82.0,False
1304044,155,2023-07-11 03:07:53+00:00,50.7745164,3.8731989,18.0,22.0,351.0,382.0,804.0,798.0,53.0,52.0,49.0,48.0,False
7045396,116,2023-01-27 04:39:03+00:00,50.8545023,3.6053324,13.0,10.0,217.0,179.0,801.0,800.0,78.0,77.0,77.0,76.0,False
8108129,155,2023-06-22 16:45:14+00:00,51.0028412,3.7967941,41.0,33.0,324.0,341.0,1498.0,1497.0,88.0,88.0,91.0,95.0,False
4174425,155,2023-05-23 05:47:47+00:00,50.9320545,3.6388804,30.0,35.0,355.0,362.0,1784.0,1890.0,88.0,90.0,87.0,90.0,False
368054,164,2023-07-27 14:44:15+00:00,51.1446752,5.2154439,43.0,38.0,203.0,196.0,803.0,803.0,83.0,83.0,84.0,85.0,False
10844354,123,2023-03-04 06:46:54+00:00,51.1994241,4.4322378,33.0,23.0,220.0,203.0,808.0,793.0,77.0,81.0,0.0,82.0,True
15510550,175,2023-06-27 11:21:36+00:00,51.2432925,5.5113873,45.0,41.0,393.0,479.0,1822.0,1871.0,85.0,85.0,85.0,84.0,False
16026459,175,2023-02-11 09:31:37+00:00,51.1600341,4.6703144,27.0,18.0,382.0,451.0,1898.0,1930.0,82.0,82.0,82.0,83.0,False
2296985,116,2023-09-07 07:40:34+00:00,50.9718352,3.7926261,42.0,38.0,338.0,296.0,1821.0,1819.0,84.0,85.0,93.0,93.0,False
8636929,116,2023-06-07 02:37:01+00:00,51.0433341,3.7506911,25.0,32.0,213.0,175.0,799.0,797.0,78.0,76.0,81.0,78.0,False
12545675,155,2023-09-13 21:04:17+00:00,51.0201186,3.7645704,40.5,36.0,184.0,207.0,813.5,801.5,86.5,89.5,89.0,90.0,False
13438372,116,2023-07-11 15:55:14+00:00,50.7855672,3.8733274,46.0,76.0,189.0,0.0,801.0,0.0,86.0,73.0,92.0,79.0,True
6764899,155,2023-08-08 07:21:36+00:00,51.0184937,3.7680835,31.0,31.0,258.0,276.0,824.0,865.0,74.0,81.0,79.0,81.0,False
2159745,164,2023-07-19 04:16:43+00:00,51.182967,4.8329791,33.0,36.0,427.0,414.0,1499.0,1500.0,82.0,80.0,81.0,84.0,False
6895283,175,2023-04-25 00:53:32+00:00,51.1907646,5.1138604,8.0,10.0,265.0,276.0,797.0,798.0,70.0,80.0,68.0,74.0,False
4832205,116,2023-02-20 04:41:50+00:00,51.0711044,3.7418618,27.0,34.0,272.0,213.0,791.0,792.0,71.0,68.0,63.0,62.0,False
953493,175,2023-05-18 08:18:26+00:00,50.9368566,5.3057334,36.0,22.0,0.0,300.0,0.0,795.0,32.0,82.0,35.0,77.0,True
2302632,155,2023-02-26 09:53:52+00:00,51.023385,3.7594488,26.0,20.0,269.0,262.0,804.0,803.0,68.0,76.0,67.0,73.0,False
13993293,175,2023-08-20 05:39:58+00:00,51.033687,5.3302335,23.0,33.0,200.0,244.0,795.0,801.0,82.0,82.0,87.0,85.0,False
14102896,155,2023-04-25 21:36:56+00:00,50.898636,3.807002,36.0,31.0,334.0,345.0,1721.0,1712.0,84.0,86.0,87.0,89.0,False
4117291,155,2023-07-17 01:50:15+00:00,50.8565392,3.6078876,22.0,25.0,300.0,338.0,802.0,809.0,59.0,57.0,56.0,54.0,False
9817736,155,2023-05-30 18:34:14+00:00,50.8515263,3.60142,38.0,25.0,200.0,213.0,803.0,797.0,81.0,85.0,85.0,85.0,False
13401412,116,2023-05-12 04:23:36+00:00,50.9967402,3.6499905,36.0,37.0,189.0,165.0,797.0,805.0,85.0,83.0,88.0,88.0,False
4811456,164,2023-02-06 00:35:34+00:00,51.1902609,5.1133235,8.0,6.0,238.0,220.0,799.0,792.0,83.0,83.0,77.0,81.0,False
3700117,164,2023-01-28 03:43:59+00:00,51.1909292,5.114371,15.0,8.0,251.0,248.0,798.0,803.0,82.0,81.0,76.0,77.0,False
8043731,155,2023-04-16 14:21:56+00:00,51.0385852,3.6966882,24.0,22.0,334.0,345.0,804.0,801.0,55.0,57.0,52.0,57.0,False
11634107,164,2023-02-16 07:29:55+00:00,51.0337496,5.3297375,23.0,36.0,224.0,213.0,801.0,803.0,82.0,82.0,82.0,82.0,False
2405776,116,2023-01-30 03:25:39+00:00,50.7740417,3.8727298,0.0,3.0,0.0,555.0,0.0,800.0,0.0,5.0,6.0,3.0,True
2180703,175,2023-07-03 21:28:39+00:00,51.1906778,5.1130593,18.0,18.0,534.0,541.0,801.0,801.0,38.0,36.0,25.0,23.0,True
10945032,164,2023-03-28 11:42:12+00:00,51.1197292,5.2574379,28.0,28.666666666666668,391.6666666666667,370.0,1790.3333333333333,1234.0,82.0,55.333333333333336,82.66666666666667,87.0,False
1994135,116,2023-01-25 07:14:10+00:00,50.9044853,3.6456672,35.0,12.0,189.0,172.0,791.0,804.0,85.0,82.0,88.0,86.0,False
1251009,116,2023-01-25 13:01:19+00:00,51.0168532,3.7710329,11.0,12.0,320.0,265.0,794.0,800.0,59.0,58.0,53.0,51.0,False
16097135,175,2023-04-22 17:19:23+00:00,51.1739363,4.9033787,27.0,28.0,362.0,424.0,1497.0,1498.0,86.0,88.0,91.0,93.0,False
4142482,164,2023-07-19 01:51:39+00:00,51.1907839,5.1137879,21.0,22.0,255.0,248.0,801.0,801.0,83.0,81.0,79.0,79.0,False
16538388,175,2023-03-06 21:22:37+00:00,50.9370059,5.3071145,6.0,9.0,313.0,365.0,803.0,803.0,68.0,69.0,61.0,60.0,False
11870982,164,2023-07-01 20:53:23+00:00,51.1678234,4.9791994,33.0,33.0,372.0,3.0,1499.0,0.0,87.0,30.0,84.0,44.0,True
13311747,164,2023-07-03 01:28:40+00:00,51.1901438,5.1125522,53.0,0.0,6.0,0.0,0.0,0.0,44.0,0.0,47.5,49.5,True
10510631,116,2023-06-07 03:58:58+00:00,51.0385072,3.6983479,26.0,37.0,210.0,169.0,788.0,796.0,79.0,77.0,81.0,81.0,False
